structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4679	PHA_Posterior Hypothalamic Area, Left	PHA	NA	PHA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4909	OPs_occipital pole, Left, superior aspect	OPs	NA	OPS	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4307	SI_Substantia Innominata, Left	SI	NA	SI	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4139	STG-i_superior temporal gyrus, Right, inferior bank of gyrus	STG	i	STG	FALSE	TRUE	FALSE	ABA_dataset_adult	STG	12140	superior temporal gyrus	TRUE
4124	Pcu-i_precuneus, Right,  inferior lateral bank of gyrus	Pcu	i	PCU	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4033	MFG-s_middle frontal gyrus, Right, superior bank of gyrus	MFG	s	MFG	FALSE	TRUE	FALSE	ABA_dataset_adult	MFG	12116	middle frontal gyrus	TRUE
9048	Dk_nucleus of Darkschewitsch, Left	Dk	NA	DK	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4288	Pu_Putamen, Left	Pu	NA	PU	TRUE	FALSE	FALSE	ABA_dataset_adult	Pu	10338	putamen	TRUE
4128	PCLp-cs_paracentral lobule, posterior part, Left, bank of cingulate sulcus	PCLp	cs	PCLP	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4761	PV-IX_IX, Right Paravermis	PV	IX	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9677	Sp5_spinal trigeminal nucleus, Left	Sp5	NA	SP5	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4110	SMG-i_supramarginal gyrus, Right, inferior bank of gyrus	SMG	i	SMG	FALSE	TRUE	FALSE	ABA_dataset_adult	SMG	12135	supramarginal gyrus	TRUE
4251	S_subiculum, Left	S	NA	S	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4088	PoG-sl_postcentral gyrus, Left, superior lateral aspect of gyrus	PoG	sl	POG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4273	SIG_Short Insular Gyri, Left	SIG	NA	SIG	TRUE	FALSE	FALSE	ABA_dataset_adult	SIG	12178	short insular gyri	TRUE
4629	AHA_Anterior Hypothalamic Area, Right	AHA	NA	AHA	FALSE	TRUE	FALSE	ABA_dataset_adult	AHA	10377	amygdalohippocampal area	TRUE
4194	LiG-str_lingual gyrus, Left, striate	LiG	str	LIG	TRUE	FALSE	FALSE	ABA_dataset_adult	LIG	12177	long insular gyri	TRUE
4194	LiG-str_lingual gyrus, Left, striate	LiG	str	LIG	TRUE	FALSE	FALSE	ABA_dataset_adult	LiG	12151	lingual gyrus	TRUE
4070	PaOG_parolfactory gyri, Right	PaOG	NA	PAOG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4492	ILc_Caudal Group of Intralaminar Nuclei, Right	ILc	NA	ILC	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4444	MG_Medial Geniculate Complex, Left	MG	NA	MG	TRUE	FALSE	FALSE	ABA_dataset_adult	MG	10434	medial geniculate nuclei	TRUE
4667	TM_Tuberomammillary Nucleus, Left	TM	NA	TM	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9075	SNR_Substantia Nigra, pars reticulata, Left	SNR	NA	SNR	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9169	PRF_Pontine Reticular Formation, Right	PRF	NA	PRF	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4758	PV-VIIB_VIIB, Right Paravermis	PV	VIIB	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4322	Cl_Claustrum, Left	Cl	NA	CL	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9019	MBRF_Midbrain Reticular Formation, Left	MBRF	NA	MBRF	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4751	PV-III_III, Right Paravermis	PV	III	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9450	EW_Edinger Westphal nucleus, Left	EW	NA	EW	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9186	SOC_Superior Olivary Complex, Right	SOC	NA	SOC	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4519	Sb_Subthalamic Nucleus, Right	Sb	NA	SB	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4314	SI_Substantia Innominata, Right	SI	NA	SI	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4012	PrG-prc_precentral gyrus, Left, bank of the precentral sulcus	PrG	prc	PRG	TRUE	FALSE	FALSE	ABA_dataset_adult	PRG	146034892	perirhinal gyrus ( rostral part of FuGt)	TRUE
9546	10_dorsal motor nucleus of the vagus, Left	10	NA	10	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4207	IOG-s_inferior occipital gyrus, Left, superior bank of gyrus	IOG	s	IOG	TRUE	FALSE	FALSE	ABA_dataset_adult	IOG	12153	inferior occipital gyrus	TRUE
4087	PoG-cs_postcentral gyrus, Left, bank of the central sulcus	PoG	cs	POG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9004	CGMB_central grey substance of midbrain, Left	CGMB	NA	CGMB	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4292	Acb_Nucleus Accumbens, Right	Acb	NA	ACB	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
