	ligand_pubchem_sid	ligand_pubchem_cid	ligand name	ligand_type	Receptor_id	Receptor_uniprot	Receptor_location	Type	target_species	pubmed_id	Other.DB	LRID	pipe_genesymbol
0	135651413	5202.0	5-hydroxytryptamine	Metabolite	3350	P08908	Membrane	sMOL-receptor interaction	Human	1386736;9760039;10431754;9550290;9205951;15628665	IUPHAR	LR08151	HTR1A
1	135651413	5202.0	5-hydroxytryptamine	Metabolite	3351	P28222	Membrane	sMOL-receptor interaction	Human	1565658;8863519	IUPHAR	LR08152	HTR1B
2	135651581	1150.0	tryptamine	Metabolite	3351	P28222	Membrane	sMOL-receptor interaction	Human	1565658	IUPHAR	LR08154	HTR1B
3	135651962	7048566.0	5-HT-moduline	Peptide	3351	P28222	Membrane	sMOL-receptor interaction	Human	9774213	IUPHAR	LR08155	HTR1B
4	135651413	5202.0	5-hydroxytryptamine	Metabolite	3352	P28221	Membrane	sMOL-receptor interaction	Human	10431754;1565658;9208142;9776361;8957260;8967979;1652050	IUPHAR	LR08156	HTR1D
5	135651962	7048566.0	5-HT-moduline	Peptide	3352	P28221	Membrane	sMOL-receptor interaction	Human	9774213	IUPHAR	LR08157	HTR1D
6	135651413	5202.0	5-hydroxytryptamine	Metabolite	3354	P28566	Membrane	sMOL-receptor interaction	Human	1608964;8380639;14744596;15110837	IUPHAR	LR08158	HTR1E
7	135651581	1150.0	tryptamine	Metabolite	3354	P28566	Membrane	sMOL-receptor interaction	Human	8380639;14744596;15110837	IUPHAR	LR08159	HTR1E
8	135651413	5202.0	5-hydroxytryptamine	Metabolite	3355	P30939	Membrane	sMOL-receptor interaction	Human	8380639	IUPHAR	LR08160	HTR1F
9	135651413	5202.0	5-hydroxytryptamine	Metabolite	3356	P28223	Membrane	sMOL-receptor interaction	Human	8534270	IUPHAR	LR08162	HTR2A
10	135651581	1150.0	tryptamine	Metabolite	3356	P28223	Membrane	sMOL-receptor interaction	Human	15322733;2233697;8114677	IUPHAR	LR08164	HTR2A
11	135651413	5202.0	5-hydroxytryptamine	Metabolite	3357	P41595	Membrane	sMOL-receptor interaction	Human	15322733;12954071;11104741;8078486;15466450	IUPHAR	LR08165	HTR2B
12	135651413	5202.0	5-hydroxytryptamine	Metabolite	3358	P28335	Membrane	sMOL-receptor interaction	Human	15322733;12954071;10217294;10611640;14709324	IUPHAR	LR08166	HTR2C
13	135651413	5202.0	5-hydroxytryptamine	Metabolite	3359	P46098	Membrane	sMOL-receptor interaction	Human	9950429;8848005;7565620;10521471;9463477;16081679;10825381	IUPHAR	LR08167	HTR3A
14	135652731		Ca2+	Inorganic	3359	P46098	Membrane	sMOL-receptor interaction	Human	9508827;10582123	IUPHAR	LR08169	HTR3A
15	135652741		Mg2+	Inorganic	3359	P46098	Membrane	sMOL-receptor interaction	Human	10582123	IUPHAR	LR08170	HTR3A
17	135651413	5202.0	5-hydroxytryptamine	Metabolite	3360	Q13639	Membrane	sMOL-receptor interaction	Human	15466450;9349523;9603189;9351641;10646498;11218067;10683202;11030734;10821780;15351779	IUPHAR	LR08174	HTR4
18	135651413	5202.0	5-hydroxytryptamine	Metabolite	3361	P47898	Membrane	sMOL-receptor interaction	Human	7988681;11343685	IUPHAR	LR08175	HTR5A
19	135651413	5202.0	5-hydroxytryptamine	Metabolite	3362	P50406	Membrane	sMOL-receptor interaction	Human	8522988;9730917;9284367	IUPHAR	LR08176	HTR6
20	135651413	5202.0	5-hydroxytryptamine	Metabolite	3363	P34969	Membrane	sMOL-receptor interaction	Human	12527336;11414657;9298538;8226867;9720804	IUPHAR	LR08177	HTR7
21	135651545	6323481.0	phosphatidylserine	Metabolite	575	O14514	Membrane	sMOL-receptor interaction	Human	17960134	IUPHAR	LR08178	ADGRB1
22	135651430	5816.0	(-)-adrenaline	Metabolite	148	P35348	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08179	ADRA1A
23	135651527	439260.0	(-)-noradrenaline	Metabolite	148	P35348	Membrane	sMOL-receptor interaction	Human	7651358;10433504;8564227	IUPHAR	LR08180	ADRA1A
24	135651430	5816.0	(-)-adrenaline	Metabolite	147	P35368	Membrane	sMOL-receptor interaction	Human	7651358	IUPHAR	LR08181	ADRA1B
25	135651527	439260.0	(-)-noradrenaline	Metabolite	147	P35368	Membrane	sMOL-receptor interaction	Human	7651358	IUPHAR	LR08182	ADRA1B
26	135651430	5816.0	(-)-adrenaline	Metabolite	146	P25100	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08183	ADRA1D
27	135651527	439260.0	(-)-noradrenaline	Metabolite	146	P25100	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08184	ADRA1D
28	135651430	5816.0	(-)-adrenaline	Metabolite	150	P08913	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08185	ADRA2A
29	135651527	439260.0	(-)-noradrenaline	Metabolite	150	P08913	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08186	ADRA2A
30	135651430	5816.0	(-)-adrenaline	Metabolite	151	P18089	Membrane	sMOL-receptor interaction	Human	9605427	IUPHAR	LR08187	ADRA2B
31	135651527	439260.0	(-)-noradrenaline	Metabolite	151	P18089	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08188	ADRA2B
32	135651430	5816.0	(-)-adrenaline	Metabolite	152	P18825	Membrane	sMOL-receptor interaction	Human	9605427	IUPHAR	LR08189	ADRA2C
33	135651527	439260.0	(-)-noradrenaline	Metabolite	152	P18825	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08190	ADRA2C
34	135651474	10635.0	dihydrotestosterone	Metabolite	367	P10275	Membrane	sMOL-receptor interaction	Human	2911578	IUPHAR	LR08191	AR
35	135651426	60961.0	adenosine	Metabolite	134	P30542	Membrane	sMOL-receptor interaction	Human	14662005	IUPHAR	LR08192	ADORA1
36	135651426	60961.0	adenosine	Metabolite	135	P29274	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08193	ADORA2A
37	135651426	60961.0	adenosine	Metabolite	136	P29275	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08194	ADORA2B
38	135651426	60961.0	adenosine	Metabolite	140	P0DMS8	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08195	ADORA3
39	178102796		gastrin releasing peptide(14-27)	Peptide	4829	P28336	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08196	NMBR
40	178102796		gastrin releasing peptide(14-27)	Peptide	2925	P30550	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08197	GRPR
41	178102799		neuromedin C	Peptide	2925	P30550	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08198	GRPR
42	135651430	5816.0	(-)-adrenaline	Metabolite	153	P08588	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08199	ADRB1
43	135651527	439260.0	(-)-noradrenaline	Metabolite	153	P08588	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08200	ADRB1
44	135651526	951.0	noradrenaline	Metabolite	153	P08588	Membrane	sMOL-receptor interaction	Human	2849109	IUPHAR	LR08201	ADRB1
45	135651527	439260.0	(-)-noradrenaline	Metabolite	154	P07550	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08202	ADRB2
46	135651430	5816.0	(-)-adrenaline	Metabolite	154	P07550	Membrane	sMOL-receptor interaction	Human	2849109;9295336;14730417	IUPHAR	LR08203	ADRB2
47	135651526	951.0	noradrenaline	Metabolite	154	P07550	Membrane	sMOL-receptor interaction	Human	15102946	IUPHAR	LR08204	ADRB2
48	135652747		Zn2+	Inorganic	154	P07550	Membrane	sMOL-receptor interaction	Human	12409304;11752207	IUPHAR	LR08205	ADRB2
49	135651430	5816.0	(-)-adrenaline	Metabolite	155	P13945	Membrane	sMOL-receptor interaction	Human	14730417	IUPHAR	LR08206	ADRB3
50	135651527	439260.0	(-)-noradrenaline	Metabolite	155	P13945	Membrane	sMOL-receptor interaction	Human	9131260;14730417;14744619	IUPHAR	LR08207	ADRB3
51	135651547	838.0	(plusmn)-adrenaline	Metabolite	155	P13945	Membrane	sMOL-receptor interaction	Human	8719421;7903415;14730417	IUPHAR	LR08208	ADRB3
52	135651371	5283156.0	12R-HETE	Metabolite	1241	Q15722	Membrane	sMOL-receptor interaction	Human	9177352	IUPHAR	LR08209	LTB4R
53	135651386	5280745.0	20-hydroxy-LTB4	Metabolite	1241	Q15722	Membrane	sMOL-receptor interaction	Human	9177352	IUPHAR	LR08210	LTB4R
54	178102780	5283141.0	12-hydroxyheptadecatrienoic acid	Metabolite	56413	Q9NPC1	Membrane	sMOL-receptor interaction	Human	18378794	IUPHAR	LR08211	LTB4R2
55	178102781	5283130.0	12-epi LTB4	Metabolite	56413	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08212	LTB4R2
56	135651372	5283155.0	12S-HETE	Metabolite	56413	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08213	LTB4R2
57	135651378	5280724.0	15S-HETE	Metabolite	56413	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08214	LTB4R2
58	53801088	5280492.0	LTB4	Metabolite	56413	Q9NPC1	Membrane	sMOL-receptor interaction	Human	18378794	IUPHAR	LR08215	LTB4R2
59	135652731		Ca2+	Inorganic	846	P41180	Membrane	sMOL-receptor interaction	Human	7531693	IUPHAR	LR08217	CASR
60	135651562	1103.0	spermine	Metabolite	846	P41180	Membrane	sMOL-receptor interaction	Human	9357776	IUPHAR	LR08218	CASR
61	135651515	6305.0	L-tryptophan	Metabolite	846	P41180	Membrane	sMOL-receptor interaction	Human	10781086;15234970	IUPHAR	LR08219	CASR
62	135651438	5281969.0	anandamide	Metabolite	8913	O43497	Membrane	sMOL-receptor interaction	Human	11742980	IUPHAR	LR08220	CACNA1G
63	135651438	5281969.0	anandamide	Metabolite	8912	O95180	Membrane	sMOL-receptor interaction	Human	11742980	IUPHAR	LR08221	CACNA1H
64	135650814	5280723.0	PGE1	Natural product	117144	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08222	CATSPER1
65	135651539	5280360.0	PGE2	Metabolite	117144	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08223	CATSPER1
66	178102065	5280939.0	PGF1alpha	Metabolite	117144	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08224	CATSPER1
67	135651551	5994.0	progesterone	Metabolite	117144	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08225	CATSPER1
68	135650814	5280723.0	PGE1	Natural product	117155	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08226	CATSPER2
69	135651539	5280360.0	PGE2	Metabolite	117155	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08227	CATSPER2
70	178102065	5280939.0	PGF1alpha	Metabolite	117155	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08228	CATSPER2
71	135651551	5994.0	progesterone	Metabolite	117155	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08229	CATSPER2
72	135650814	5280723.0	PGE1	Natural product	347732	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08230	CATSPER3
73	135651539	5280360.0	PGE2	Metabolite	347732	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08231	CATSPER3
74	178102065	5280939.0	PGF1alpha	Metabolite	347732	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08232	CATSPER3
75	135651551	5994.0	progesterone	Metabolite	347732	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08233	CATSPER3
76	135650814	5280723.0	PGE1	Natural product	378807	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08234	CATSPER4
77	135651539	5280360.0	PGE2	Metabolite	378807	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08235	CATSPER4
78	178102065	5280939.0	PGF1alpha	Metabolite	378807	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08236	CATSPER4
79	135651551	5994.0	progesterone	Metabolite	378807	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08237	CATSPER4
80	135651438	5281969.0	anandamide	Metabolite	1268	P21554	Membrane	sMOL-receptor interaction	Human	7565624;8819477	IUPHAR	LR08238	CNR1
81	135651394	5282280.0	2-arachidonoylglycerol	Metabolite	1269	P34972	Membrane	sMOL-receptor interaction	Human	7605349;9721036	IUPHAR	LR08239	CNR2
82	135651438	5281969.0	anandamide	Metabolite	1269	P34972	Membrane	sMOL-receptor interaction	Human	7565624;8819477;7605349	IUPHAR	LR08240	CNR2
83	178100598	3084441.0	desulfated cholecystokinin-8	Peptide	887	P32239	Membrane	sMOL-receptor interaction	Human	7681836	IUPHAR	LR08241	CCKBR
84	178100364	10473088.0	resolvin E1	Metabolite	1240	Q99788	Membrane	sMOL-receptor interaction	Human	15753205;20887750;17339491	IUPHAR	LR08242	CMKLR1
85	135651454	135398570.0	cyclic GMP	Metabolite	1259	P29973	Membrane	sMOL-receptor interaction	Human	12467592;7530019;1379636;7479749;9512030;7526403;9874685	IUPHAR	LR08243	CNGA1
86	135651452	6076.0	cyclic AMP	Metabolite	1261	Q16281	Membrane	sMOL-receptor interaction	Human	8814292;12730238	IUPHAR	LR08244	CNGA3
87	135651454	135398570.0	cyclic GMP	Metabolite	1261	Q16281	Membrane	sMOL-receptor interaction	Human	8814292;9517456;12730238	IUPHAR	LR08245	CNGA3
88	135651512	5280493.0	LTC4	Metabolite	10800	Q9Y271	Membrane	sMOL-receptor interaction	Human	10391245	IUPHAR	LR08246	CYSLTR1
89	135651513	6435286.0	LTD4	Metabolite	10800	Q9Y271	Membrane	sMOL-receptor interaction	Human	10391245	IUPHAR	LR08249	CYSLTR1
90	135651514	5280879.0	LTE4	Metabolite	10800	Q9Y271	Membrane	sMOL-receptor interaction	Human	9547367	IUPHAR	LR08253	CYSLTR1
91	135651512	5280493.0	LTC4	Metabolite	57105	Q9NS75	Membrane	sMOL-receptor interaction	Human	10913337;11093801	IUPHAR	LR08257	CYSLTR2
92	135651513	6435286.0	LTD4	Metabolite	57105	Q9NS75	Membrane	sMOL-receptor interaction	Human	9547367	IUPHAR	LR08262	CYSLTR2
93	135651514	5280879.0	LTE4	Metabolite	57105	Q9NS75	Membrane	sMOL-receptor interaction	Human	10913337;11093801	IUPHAR	LR08269	CYSLTR2
94	135652148	5311080.0	endomorphin-1	Peptide	4985	P41143	Membrane	sMOL-receptor interaction	Human	9849897	IUPHAR	LR08274	OPRD1
95	135651538	448457.0	PGD2	Metabolite	5729	Q13258	Membrane	sMOL-receptor interaction	Human	10448933;7642548;9579725;16604093	IUPHAR	LR08275	PTGDR
96	135650814	5280723.0	PGE1	Natural product	5729	Q13258	Membrane	sMOL-receptor interaction	Human	9579725	IUPHAR	LR08276	PTGDR
97	135651539	5280360.0	PGE2	Metabolite	5729	Q13258	Membrane	sMOL-receptor interaction	Human	7642548;9579725;10634944	IUPHAR	LR08277	PTGDR
98	135651540	5280363.0	PGF2alpha	Metabolite	5729	Q13258	Membrane	sMOL-receptor interaction	Human	9579725;10634944	IUPHAR	LR08278	PTGDR
99	135651542	5280884.0	PGJ2	Metabolite	5729	Q13258	Membrane	sMOL-receptor interaction	Human	9579725	IUPHAR	LR08279	PTGDR
100	135651538	448457.0	PGD2	Metabolite	11251	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225;16256979	IUPHAR	LR08280	PTGDR2
101	135651539	5280360.0	PGE2	Metabolite	11251	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08281	PTGDR2
102	135651540	5280363.0	PGF2alpha	Metabolite	11251	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08282	PTGDR2
103	135651542	5280884.0	PGJ2	Metabolite	11251	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08283	PTGDR2
104	135651480	681.0	dopamine	Metabolite	1812	P21728	Membrane	sMOL-receptor interaction	Human	1826762;7525564	IUPHAR	LR08284	DRD1
105	135651526	951.0	noradrenaline	Metabolite	1812	P21728	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08285	DRD1
106	135651413	5202.0	5-hydroxytryptamine	Metabolite	1812	P21728	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08286	DRD1
107	135651480	681.0	dopamine	Metabolite	1813	P14416	Membrane	sMOL-receptor interaction	Human	8301582;7756621;7576010	IUPHAR	LR08287	DRD2
108	135651480	681.0	dopamine	Metabolite	1814	P35462	Membrane	sMOL-receptor interaction	Human	8301582;7756621;7576010;1975644	IUPHAR	LR08288	DRD3
109	135651480	681.0	dopamine	Metabolite	1815	P21917	Membrane	sMOL-receptor interaction	Human	1840645	IUPHAR	LR08289	DRD4
110	135651413	5202.0	5-hydroxytryptamine	Metabolite	1816	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08290	DRD5
111	135651480	681.0	dopamine	Metabolite	1816	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08291	DRD5
112	135651526	951.0	noradrenaline	Metabolite	1816	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08292	DRD5
113	135651538	448457.0	PGD2	Metabolite	5731	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08293	PTGER1
114	135650814	5280723.0	PGE1	Natural product	5731	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08294	PTGER1
115	135651539	5280360.0	PGE2	Metabolite	5731	P34995	Membrane	sMOL-receptor interaction	Human	16604093;10634944;11999132	IUPHAR	LR08295	PTGER1
116	135651540	5280363.0	PGF2alpha	Metabolite	5731	P34995	Membrane	sMOL-receptor interaction	Human	10634944;11999132	IUPHAR	LR08296	PTGER1
117	135651541	5282411.0	PGI2	Metabolite	5731	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08297	PTGER1
118	135651538	448457.0	PGD2	Metabolite	5732	P43116	Membrane	sMOL-receptor interaction	Human	10462542	IUPHAR	LR08298	PTGER2
119	135651539	5280360.0	PGE2	Metabolite	5732	P43116	Membrane	sMOL-receptor interaction	Human	16604093;10634944;10462542	IUPHAR	LR08299	PTGER2
120	135651540	5280363.0	PGF2alpha	Metabolite	5732	P43116	Membrane	sMOL-receptor interaction	Human	10634944;10462542	IUPHAR	LR08300	PTGER2
121	135651539	5280360.0	PGE2	Metabolite	5733	P43115	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08301	PTGER3
122	135651540	5280363.0	PGF2alpha	Metabolite	5733	P43115	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08304	PTGER3
123	135651538	448457.0	PGD2	Metabolite	5734	P35408	Membrane	sMOL-receptor interaction	Human	10462542;10952683	IUPHAR	LR08305	PTGER4
124	135650814	5280723.0	PGE1	Natural product	5734	P35408	Membrane	sMOL-receptor interaction	Human	19584306	IUPHAR	LR08307	PTGER4
125	135651539	5280360.0	PGE2	Metabolite	5734	P35408	Membrane	sMOL-receptor interaction	Human	16604093;10634944;10462542;10952683;17495127	IUPHAR	LR08309	PTGER4
126	135651540	5280363.0	PGF2alpha	Metabolite	5734	P35408	Membrane	sMOL-receptor interaction	Human	10634944;10462542;10952683	IUPHAR	LR08311	PTGER4
